part_number,description,category,criticality,unit_cost_usd,current_stock,safety_stock,reorder_point,lead_time_days,lead_time_volatility,aog_cost_per_day,supplier_id,last_updated,stock_coverage_days,risk_flag,on_time_delivery_pct,risk_exposure,region,country,country_code,inventory_risk_score,supplier_multiplier,composite_risk_score,risk_level,estimated_outage_days,financial_exposure_usd
PN-ENG-00035,Engine Component - Series X,Engine,Critical,56845,54,43,55,38.0,Medium,215695,SUP-0120,2025-11-01,37.674418604651166,Warning,73.2,Medium,Europe,France,FRA,70,1.1,77.0,High,38.0,8196410.0
PN-ELE-00036,Electrical Component - Series A,Electrical,High,5809,35,19,24,15.0,Low,143923,SUP-0104,2025-12-08,55.26315789473684,Healthy,72.4,Medium,Europe,France,FRA,25,1.1,27.500000000000004,Low,15.0,0.0
PN-STR-00037,Structural Component - Series B,Structural,Medium,7983,22,20,26,19.0,Low,68083,SUP-0138,2025-12-22,33.0,Warning,72.6,Medium,North America,USA,USA,40,1.1,44.0,Medium,19.0,0.0
PN-AVI-00038,Avionics Component - Series B,Avionics,High,19680,39,26,33,20.0,Low,175874,SUP-0020,2025-12-21,45.0,Healthy,69.7,Medium,North America,Canada,CAN,25,1.1,27.500000000000004,Low,20.0,0.0
PN-STR-00039,Structural Component - Series A,Structural,Medium,8688,25,21,27,31.0,Medium,177957,SUP-0139,2025-10-27,35.714285714285715,Warning,70.1,High,Middle East,Israel,ISR,50,1.3,65.0,High,31.0,5516667.0
PN-ENG-00040,Engine Component - Series B,Engine,Critical,60799,39,24,31,14.0,Low,183559,SUP-0105,2025-12-27,48.75,Healthy,64.4,Medium,North America,USA,USA,35,1.1,38.5,Medium,14.0,0.0
PN-LAN-00041,Landing Gear Component - Series A,Landing Gear,Critical,28990,53,33,42,53.0,Medium,166129,SUP-0043,2025-12-13,48.18181818181818,Healthy,91.5,Medium,Asia-Pacific,China,CHN,45,1.1,49.50000000000001,Medium,53.0,0.0
PN-ENG-00042,Engine Component - Series X,Engine,Critical,33138,52,34,44,64.0,High,140703,SUP-0074,2025-12-19,45.88235294117647,Healthy,63.5,High,Middle East,Israel,ISR,60,1.3,78.0,High,64.0,9004992.0
PN-ELE-00043,Electrical Component - Series X,Electrical,High,3959,35,27,35,40.0,Medium,104080,SUP-0040,2025-11-19,38.888888888888886,Healthy,69.2,High,Asia-Pacific,Japan,JPN,35,1.3,45.5,Medium,40.0,0.0
PN-HYD-00044,Hydraulics Component - Series A,Hydraulics,High,6385,40,26,33,73.0,High,143395,SUP-0081,2025-11-02,46.15384615384615,Healthy,87.7,High,Middle East,Saudi Arabia,SAU,50,1.3,65.0,High,73.0,10467835.0
PN-ENG-00045,Engine Component - Series B,Engine,Critical,58146,44,36,46,68.0,High,241689,SUP-0015,2025-12-30,36.66666666666667,Warning,71.9,High,Middle East,Qatar,QAT,85,1.3,100.0,High,68.0,16434852.0
PN-ENG-00046,Engine Component - Series A,Engine,Critical,31922,25,19,24,29.0,Low,348557,SUP-0061,2025-12-16,39.473684210526315,Healthy,70.6,Medium,North America,Canada,CAN,35,1.1,38.5,Medium,29.0,0.0
PN-ENG-00047,Engine Component - Series A,Engine,Critical,51575,75,39,50,7.0,Low,288891,SUP-0021,2025-12-18,57.69230769230769,Healthy,88.8,High,Middle East,Saudi Arabia,SAU,35,1.3,45.5,Medium,7.0,0.0
PN-ELE-00048,Electrical Component - Series C,Electrical,High,4552,62,34,44,18.0,Low,186493,SUP-0053,2026-01-19,54.70588235294118,Healthy,90.9,Medium,Asia-Pacific,China,CHN,25,1.1,27.500000000000004,Low,18.0,0.0
PN-ELE-00049,Electrical Component - Series B,Electrical,High,5605,20,22,28,39.0,Medium,121002,SUP-0077,2025-12-23,27.272727272727273,Warning,62.1,High,Middle East,Turkey,TUR,60,1.3,78.0,High,39.0,4719078.0
PN-HYD-00050,Hydraulics Component - Series A,Hydraulics,High,6953,24,20,26,41.0,Medium,188358,SUP-0118,2026-01-13,36.0,Warning,72.6,Medium,Europe,France,FRA,60,1.1,66.0,High,41.0,7722678.0
PN-CAB-00051,Cabin Systems Component - Series B,Cabin Systems,Medium,2083,29,21,27,13.0,Low,116706,SUP-0130,2025-11-28,41.42857142857143,Healthy,75.8,High,Asia-Pacific,Thailand,THA,15,1.3,19.5,Low,13.0,0.0
PN-AVI-00052,Avionics Component - Series B,Avionics,High,15822,36,27,35,79.0,High,220485,SUP-0095,2025-12-01,40.0,Healthy,94.8,Medium,Asia-Pacific,China,CHN,50,1.1,55.00000000000001,Medium,79.0,0.0
PN-AVI-00053,Avionics Component - Series C,Avionics,High,20169,44,27,35,29.0,Low,273452,SUP-0136,2025-10-27,48.888888888888886,Healthy,81.3,Low,Europe,Italy,ITA,25,1.0,25.0,Low,29.0,0.0
PN-ELE-00054,Electrical Component - Series A,Electrical,High,5137,28,22,28,23.0,Low,164484,SUP-0035,2025-11-28,38.18181818181819,Healthy,83.1,Medium,Asia-Pacific,Thailand,THA,25,1.1,27.500000000000004,Low,23.0,0.0
PN-ENG-00055,Engine Component - Series B,Engine,Critical,66215,33,27,35,67.0,High,155539,SUP-0070,2025-12-01,36.666666666666664,Warning,60.7,Medium,Europe,France,FRA,85,1.1,93.50000000000001,High,67.0,10421113.0
PN-CAB-00056,Cabin Systems Component - Series C,Cabin Systems,Medium,2588,56,36,46,18.0,Low,114526,SUP-0130,2025-12-27,46.66666666666667,Healthy,75.8,High,Asia-Pacific,Thailand,THA,15,1.3,19.5,Low,18.0,0.0
PN-HYD-00057,Hydraulics Component - Series A,Hydraulics,High,9517,34,28,36,11.0,Low,171887,SUP-0109,2025-11-30,36.42857142857143,Warning,95.1,Medium,Asia-Pacific,Vietnam,VNM,50,1.1,55.00000000000001,Medium,11.0,0.0
PN-ENG-00058,Engine Component - Series C,Engine,Critical,35864,53,28,36,,Unknown,250498,SUP-0042,2025-12-21,56.785714285714285,Healthy,72.8,Medium,North America,Canada,CAN,50,1.1,55.00000000000001,Medium,30.0,0.0
PN-CAB-00059,Cabin Systems Component - Series A,Cabin Systems,Medium,4073,21,19,24,23.0,Low,142740,SUP-0020,2026-01-22,33.15789473684211,Warning,69.7,Medium,North America,Canada,CAN,40,1.1,44.0,Medium,23.0,0.0
PN-AVI-00060,Avionics Component - Series B,Avionics,High,17461,51,28,36,60.0,Medium,159135,SUP-0111,2025-11-11,54.64285714285714,Healthy,79.9,High,Asia-Pacific,South Korea,KOR,35,1.3,45.5,Medium,60.0,0.0
PN-ENG-00061,Engine Component - Series A,Engine,Critical,59638,41,27,35,64.0,High,307618,SUP-0092,2025-11-21,45.55555555555556,Healthy,99.0,Medium,Asia-Pacific,China,CHN,60,1.1,66.0,High,64.0,19687552.0
PN-ELE-00062,Electrical Component - Series X,Electrical,High,6474,41,26,33,31.0,Medium,123539,SUP-0040,2025-11-25,47.30769230769231,Healthy,69.2,High,Asia-Pacific,Japan,JPN,35,1.3,45.5,Medium,31.0,0.0
PN-STR-00063,Structural Component - Series B,Structural,Medium,7616,12,38,49,27.0,Low,171522,SUP-0106,2025-10-29,9.473684210526317,Critical,83.2,Medium,North America,Mexico,MEX,50,1.1,55.00000000000001,Medium,27.0,0.0
PN-AVI-00064,Avionics Component - Series X,Avionics,High,16552,41,33,42,53.0,Medium,242952,SUP-0064,2025-11-29,37.272727272727266,Warning,62.7,Medium,North America,USA,USA,60,1.1,66.0,High,53.0,12876456.0
PN-AVI-00065,Avionics Component - Series A,Avionics,High,19983,42,22,28,63.0,High,292256,SUP-0121,2025-11-23,57.27272727272727,Healthy,81.0,Medium,North America,Canada,CAN,50,1.1,55.00000000000001,Medium,63.0,0.0
PN-AVI-00066,Avionics Component - Series C,Avionics,High,14564,19,13,16,42.0,Medium,178753,SUP-0059,2025-11-23,43.84615384615385,Healthy,97.0,Medium,Asia-Pacific,China,CHN,35,1.1,38.5,Medium,42.0,0.0
PN-ENG-00067,Engine Component - Series C,Engine,Critical,51443,24,31,40,69.0,High,204643,SUP-0018,2025-11-30,23.2258064516129,Warning,90.5,Medium,Asia-Pacific,China,CHN,85,1.1,93.50000000000001,High,69.0,14120367.0
PN-HYD-00068,Hydraulics Component - Series C,Hydraulics,High,10878,57,30,39,12.0,Low,198857,SUP-0008,2025-11-09,57.0,Healthy,87.2,Low,Europe,Italy,ITA,25,1.0,25.0,Low,12.0,0.0
PN-HYD-00069,Hydraulics Component - Series C,Hydraulics,High,4968,28,25,32,11.0,Low,146469,SUP-0010,2025-11-08,33.6,Warning,79.1,Medium,North America,USA,USA,50,1.1,55.00000000000001,Medium,11.0,0.0
PN-CAB-00070,Cabin Systems Component - Series C,Cabin Systems,Medium,3165,35,18,23,33.0,Medium,59716,SUP-0112,2026-01-11,58.333333333333336,Healthy,60.8,Medium,North America,USA,USA,25,1.1,27.500000000000004,Low,33.0,0.0
PN-CAB-00071,Cabin Systems Component - Series B,Cabin Systems,Medium,3082,11,9,11,87.0,High,121491,SUP-0066,2025-10-31,36.66666666666667,Healthy,78.6,High,Middle East,Qatar,QAT,40,1.3,52.0,Medium,87.0,0.0
PN-ELE-00072,Electrical Component - Series B,Electrical,High,3989,57,32,41,89.0,High,157581,SUP-0094,2025-12-20,53.4375,Healthy,60.0,Medium,North America,USA,USA,50,1.1,55.00000000000001,Medium,89.0,0.0
PN-ENG-00073,Engine Component - Series C,Engine,Critical,30887,52,31,40,78.0,High,247087,SUP-0032,2025-12-03,50.32258064516129,Healthy,99.0,Low,North America,Mexico,MEX,60,1.0,60.0,Medium,78.0,0.0
PN-CAB-00074,Cabin Systems Component - Series X,Cabin Systems,Medium,2012,44,24,31,11.0,Low,125263,SUP-0076,2026-01-04,55.0,Healthy,71.8,High,Asia-Pacific,Singapore,SGP,15,1.3,19.5,Low,11.0,0.0
PN-AVI-00075,Avionics Component - Series X,Avionics,High,17448,45,25,32,20.0,Low,152430,SUP-0045,2026-01-12,54.0,Healthy,74.6,High,Middle East,Israel,ISR,25,1.3,32.5,Medium,20.0,0.0
PN-CAB-00076,Cabin Systems Component - Series A,Cabin Systems,Medium,3131,26,16,20,36.0,Medium,62190,SUP-0078,2025-12-01,48.75,Healthy,75.0,Medium,Europe,Germany,DEU,25,1.1,27.500000000000004,Low,36.0,0.0
PN-AVI-00077,Avionics Component - Series C,Avionics,High,16465,52,27,35,36.0,Medium,274193,SUP-0120,2025-12-21,57.77777777777778,Healthy,73.2,Medium,Europe,France,FRA,35,1.1,38.5,Medium,36.0,0.0
PN-LAN-00078,Landing Gear Component - Series B,Landing Gear,Critical,34600,44,45,58,75.0,High,245839,SUP-0022,2025-12-01,29.333333333333332,Warning,64.1,Medium,North America,Canada,CAN,85,1.1,93.50000000000001,High,75.0,18437925.0
PN-CAB-00079,Cabin Systems Component - Series A,Cabin Systems,Medium,2107,26,21,27,29.0,Low,67671,SUP-0061,2026-01-20,37.142857142857146,Warning,70.6,Medium,North America,Canada,CAN,40,1.1,44.0,Medium,29.0,0.0
PN-HYD-00080,Hydraulics Component - Series A,Hydraulics,High,10395,23,16,20,73.0,High,167285,SUP-0012,2025-11-26,43.125,Healthy,76.9,High,Asia-Pacific,Taiwan,TWN,50,1.3,65.0,High,73.0,12211805.0
PN-LAN-00081,Landing Gear Component - Series X,Landing Gear,Critical,16774,35,24,31,28.0,Low,162143,SUP-0107,2026-01-14,43.75,Healthy,73.1,High,Asia-Pacific,Singapore,SGP,35,1.3,45.5,Medium,28.0,0.0
PN-CAB-00082,Cabin Systems Component - Series X,Cabin Systems,Medium,2571,35,22,28,51.0,Medium,62306,SUP-0103,2025-11-26,47.727272727272734,Healthy,74.1,Medium,North America,Mexico,MEX,25,1.1,27.500000000000004,Low,51.0,0.0
PN-AVI-00083,Avionics Component - Series A,Avionics,High,9732,-1,24,31,54.0,Medium,164414,SUP-0109,2025-11-23,-1.25,Critical,95.1,Medium,Asia-Pacific,Vietnam,VNM,75,1.1,82.5,High,54.0,8878356.0
PN-AVI-00084,Avionics Component - Series X,Avionics,High,14814,38,28,36,62.0,High,228422,SUP-0013,2026-01-05,40.714285714285715,Healthy,84.9,High,Middle East,Saudi Arabia,SAU,50,1.3,65.0,High,62.0,14162164.0
PN-AVI-00085,Avionics Component - Series B,Avionics,High,10597,25,21,27,62.0,High,241343,SUP-0119,2026-01-19,35.714285714285715,Warning,60.0,Medium,Europe,Germany,DEU,75,1.1,82.5,High,62.0,14963266.0
PN-CAB-00086,Cabin Systems Component - Series X,Cabin Systems,Medium,3078,56,30,39,44.0,Medium,75822,SUP-0130,2025-12-19,56.0,Healthy,75.8,High,Asia-Pacific,Thailand,THA,25,1.3,32.5,Medium,44.0,0.0
PN-STR-00087,Structural Component - Series B,Structural,Medium,9438,29,20,26,50.0,Medium,106079,SUP-0122,2025-12-22,43.5,Healthy,61.8,Medium,North America,USA,USA,25,1.1,27.500000000000004,Low,50.0,0.0
PN-HYD-00088,Hydraulics Component - Series C,Hydraulics,High,8369,38,24,31,40.0,Medium,177980,SUP-0134,2025-12-27,47.5,Healthy,77.2,Medium,Europe,UK,GBR,35,1.1,38.5,Medium,40.0,0.0
PN-ELE-00089,Electrical Component - Series C,Electrical,High,5283,47,25,32,70.0,High,143414,SUP-0061,2025-11-29,56.4,Healthy,70.6,Medium,North America,Canada,CAN,50,1.1,55.00000000000001,Medium,70.0,0.0
PN-HYD-00090,Hydraulics Component - Series B,Hydraulics,High,10245,26,19,24,10.0,Low,103183,SUP-0039,2025-11-24,41.05263157894737,Healthy,60.0,High,Asia-Pacific,Japan,JPN,25,1.3,32.5,Medium,10.0,0.0
PN-LAN-00091,Landing Gear Component - Series A,Landing Gear,Critical,23207,29,36,46,37.0,Medium,356035,SUP-0107,2025-12-17,24.166666666666668,Warning,73.1,High,Asia-Pacific,Singapore,SGP,70,1.3,91.0,High,37.0,13173295.0
PN-HYD-00092,Hydraulics Component - Series B,Hydraulics,High,11040,10,15,19,12.0,Low,163612,SUP-0108,2025-12-14,20.0,Warning,81.1,Low,Europe,Germany,DEU,50,1.0,50.0,Medium,12.0,0.0
PN-STR-00093,Structural Component - Series X,Structural,Medium,9887,43,27,35,32.0,Medium,154067,SUP-0123,2025-10-26,47.77777777777778,Healthy,83.8,Low,Europe,UK,GBR,25,1.0,25.0,Low,32.0,0.0
PN-HYD-00094,Hydraulics Component - Series X,Hydraulics,High,5534,28,18,23,18.0,Low,181593,SUP-0138,2026-01-03,46.66666666666667,Healthy,72.6,Medium,North America,USA,USA,25,1.1,27.500000000000004,Low,18.0,0.0
PN-STR-00095,Structural Component - Series B,Structural,Medium,7697,31,20,26,9.0,Low,105367,SUP-0070,2025-12-20,46.5,Healthy,60.7,Medium,Europe,France,FRA,15,1.1,16.5,Low,9.0,0.0
PN-LAN-00096,Landing Gear Component - Series X,Landing Gear,Critical,31197,9,21,27,,Unknown,192294,SUP-0043,2025-12-24,12.857142857142858,Critical,91.5,Medium,Asia-Pacific,China,CHN,85,1.1,93.50000000000001,High,30.0,5768820.0
PN-AVI-00097,Avionics Component - Series X,Avionics,High,13186,41,26,33,41.0,Medium,286786,SUP-0145,2026-01-18,47.30769230769231,Healthy,82.8,Medium,North America,Mexico,MEX,35,1.1,38.5,Medium,41.0,0.0
PN-ENG-00098,Engine Component - Series X,Engine,Critical,67057,18,21,27,41.0,Medium,297359,SUP-0047,2025-11-01,25.714285714285715,Warning,64.7,Medium,Europe,Germany,DEU,70,1.1,77.0,High,41.0,12191719.0
PN-HYD-00099,Hydraulics Component - Series C,Hydraulics,High,7311,34,18,23,48.0,Medium,212489,SUP-0087,2025-12-13,56.66666666666667,Healthy,60.0,High,Middle East,UAE,ARE,35,1.3,45.5,Medium,48.0,0.0
PN-HYD-00100,Hydraulics Component - Series C,Hydraulics,High,7607,31,22,28,29.0,Low,176622,SUP-0021,2025-12-25,42.27272727272727,Healthy,88.8,High,Middle East,Saudi Arabia,SAU,25,1.3,32.5,Medium,29.0,0.0
PN-ENG-00101,Engine Component - Series C,Engine,Critical,51713,33,27,35,57.0,Medium,232093,SUP-0058,2026-01-17,36.666666666666664,Warning,80.6,Low,Europe,Germany,DEU,70,1.0,70.0,High,57.0,13229301.0
PN-ENG-00102,Engine Component - Series A,Engine,Critical,49816,36,27,35,35.0,Medium,301828,SUP-0064,2025-11-20,40.0,Healthy,62.7,Medium,North America,USA,USA,45,1.1,49.50000000000001,Medium,35.0,0.0
PN-STR-00103,Structural Component - Series B,Structural,Medium,9163,36,28,36,,Unknown,147832,SUP-0122,2026-01-19,38.57142857142857,Healthy,61.8,Medium,North America,USA,USA,30,1.1,33.0,Medium,30.0,0.0
PN-ENG-00104,Engine Component - Series C,Engine,Critical,63858,48,30,39,53.0,Medium,163684,SUP-0095,2025-11-16,48.0,Healthy,94.8,Medium,Asia-Pacific,China,CHN,45,1.1,49.50000000000001,Medium,53.0,0.0
PN-CAB-00105,Cabin Systems Component - Series A,Cabin Systems,Medium,3652,30,22,28,82.0,High,55098,SUP-0042,2025-12-04,40.909090909090914,Healthy,72.8,Medium,North America,Canada,CAN,40,1.1,44.0,Medium,82.0,0.0
PN-ENG-00106,Engine Component - Series X,Engine,Critical,37263,52,31,40,26.0,Low,339401,SUP-0102,2025-11-20,50.32258064516129,Healthy,82.6,Medium,North America,USA,USA,35,1.1,38.5,Medium,26.0,0.0
PN-ENG-00107,Engine Component - Series B,Engine,Critical,66474,60,31,40,18.0,Low,166301,SUP-0027,2026-01-23,58.06451612903225,Healthy,82.4,High,Middle East,Qatar,QAT,35,1.3,45.5,Medium,18.0,0.0
PN-STR-00108,Structural Component - Series A,Structural,Medium,14784,25,15,19,74.0,High,70090,SUP-0145,2025-10-31,50.0,Healthy,82.8,Medium,North America,Mexico,MEX,40,1.1,44.0,Medium,74.0,0.0
PN-HYD-00109,Hydraulics Component - Series A,Hydraulics,High,9513,32,26,33,57.0,Medium,230155,SUP-0130,2026-01-16,36.92307692307692,Warning,75.8,High,Asia-Pacific,Thailand,THA,60,1.3,78.0,High,57.0,13118835.0
PN-HYD-00110,Hydraulics Component - Series X,Hydraulics,High,10168,65,33,42,,Unknown,108699,SUP-0028,2025-12-20,59.090909090909086,Healthy,85.8,High,Middle East,Qatar,QAT,40,1.3,52.0,Medium,30.0,0.0
PN-HYD-00111,Hydraulics Component - Series B,Hydraulics,High,6115,29,24,31,15.0,Low,208168,SUP-0112,2025-11-17,36.25,Warning,60.8,Medium,North America,USA,USA,50,1.1,55.00000000000001,Medium,15.0,0.0
PN-ELE-00112,Electrical Component - Series X,Electrical,High,4385,47,25,32,44.0,Medium,142042,SUP-0120,2025-12-20,56.4,Healthy,73.2,Medium,Europe,France,FRA,35,1.1,38.5,Medium,44.0,0.0
PN-STR-00113,Structural Component - Series B,Structural,Medium,9582,42,27,35,57.0,Medium,132483,SUP-0023,2025-11-30,46.666666666666664,Healthy,63.8,Medium,Europe,France,FRA,25,1.1,27.500000000000004,Low,57.0,0.0
PN-LAN-00114,Landing Gear Component - Series X,Landing Gear,Critical,19401,40,22,28,28.0,Low,182853,SUP-0087,2025-10-29,54.54545454545455,Healthy,60.0,High,Middle East,UAE,ARE,35,1.3,45.5,Medium,28.0,0.0
